,Source,Title,Lyrics
21,mojim.com,故苑懷舊,"許冠傑

故苑懷舊

作詞：許冠英
作曲：許冠英

*La la la la
La la la la
La la la la la la la*

Repeat*

銀河與妹手兩牽 共訂愛心兩互勉
歌唱共鳴誓心願 患難同心不變遷

浮沉愛海心更堅 共伴舞影似玉燕
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
低訴熱情話歡聚 如今鴛鴦不復見

Repeat**

何時愛卿歸故苑 夜靜對影暗自怨
心碎月明下等待 斷腸人孤單掛戀

徘徊柳底心更酸 熱淚暗湧愛盡斷
祗盼若能夢中會 難捨分飛心未變

Repeat**"
22,Not Found,天才白痴往日情(音樂),Not Found
23,mojim.com,半斤八兩,"許冠傑

半斤八兩

作詞：許冠傑
作曲：許冠傑

我哋呢班打工仔
通街走糴直頭係壞腸胃
搵嗰些少到月底點夠洗　(奀過鬼)
確係認真濕滯

最弊波士毓啲發威　(癲過雞)
一味喺處係唔係亂嚟吠　(汪汪汪)
翳親加薪塊面挪起惡睇　(鈕下偈)
你就認真開胃

半斤八兩　做到隻積咁嘅樣
半斤八兩　濕水炮仗點會響
半斤八兩　夠薑呀揸鎗走去搶
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
出咗半斤力　想話攞番足八兩
家陣惡搵食　邊有半斤八兩咁理想　(吹漲)

* 我哋呢班打工仔　一生一世為錢幣做奴隸
嗰種辛苦折墮講出嚇鬼　(死俾你睇)
咪話冇乜所謂

半斤八兩　就算有福都冇你享
半斤八兩　仲慘過滾水淥豬腸
半斤八兩　雞碎咁多都要啄
出咗半斤力　想話攞番足八兩
家陣惡搵食　邊有半斤八兩咁理想　(吹漲)
(重唱 *)



感謝 佳佳 朗朗 修正歌詞"
24,mojim.com,浪子心聲,"許冠傑

浪子心聲

作詞：許冠傑/黎彼得
作曲：許冠傑

難分真與假
人面多險詐
幾許有共享榮華
簷畔水滴不分差
無知井裡蛙
徒望添聲價
空得意目光如麻
誰料金屋變敗瓦

命裡有時終須有
命裡無時莫強求

更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
雷聲風雨打
何用多驚怕
心公正白璧無瑕
行善積德最樂也

命裡有時終須有
命裡無時莫強求

人比海裡沙
毋用多牽掛

君可見漫天落霞
名利息間似霧化"
25,mojim.com,打雀英雄傳,"許冠傑

打雀英雄傳

作詞：許冠傑/黎彼得
作曲：劉傑

六嬸，三太公，大眾開枱啦面似蓮蓉，
又放工，打餐懵，圍埋砌幾圈論呀論英雄，
誰是大英雄。
(大英雄)

落手三隻東，度到啱三叫二五六筒，(食呀)
截正糊，真陰功，騰騰震嬲到面呀面都紅。


上下家，搏曬懵，依牙鬆槓斬眉斬眼打籠通，
係咁鬆，正衰公，難為氹仔會浸呀浸蛟龍。

亂咁爭，真勢兇，學到足關帝座鎮華容，
恨滿胸，裹蒸粽，嗡嗡貢好似大呀大燈籠。

更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網

大相公，小相公，遇老千章法亂曬大龍，
食詐餬，包出沖，氹氹轉好似大呀大灰熊。

執左位，起過風，移燈換櫈洗手食煙熨櫃桶，
轉下運，確唔同，連隨喫幾舖我露呀露歡容。


混一色，碰七筒，一簡白板發財做眼槓紅中，
六八筒，叫卡窿，原來咁橋佢係呀係七筒。


掘尾籠，起勢攻，大四喜揸曬南北西東，
做牌，講天聰，頻頻滿餬我做呀做英雄，時勢做英雄。
(大英雄)



感謝 陳喵 修正歌詞"
26,mojim.com,梨渦淺笑,"許冠傑

梨渦淺笑

作詞：許冠傑/黎彼得
作曲：許冠傑

梨渦淺笑　可知否奧妙
寂寞心鎖暗動搖
魂消魄蕩身飄渺
被困擾　怎得共渡藍橋

梨渦輕照　映出花月調
但望相看慰寂寥
時刻與共享分秒
願折腰　今生效同林鳥
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網

梨渦淺笑　似把君邀
綺夢輕泛浪潮
春宵猶未覺曉

梨渦雖俏　悲歡竟逆料
樂極癡戀變恨苗
情絲寸斷一朝了
夢已消　花依舊玉人杳"
27,mojim.com,大家跟住唱,"許冠傑

大家跟住唱

作詞：許冠傑/黎彼得
作曲：許冠傑

大眾踩單車郊野上　良朋共享身心舒暢
互愛坦率相向　何必多嘢想
大眾野火會山領上　油油綠草天生天養
漫舞輕歌　可以大家跟住唱

**時時要玩番下　駛乜心都傷
日日要喜洋洋　無謂咁緊張
時時要輕鬆下　將清福享
日日笑口如常　就更加會命長
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
啦......

repeat *

就算有心想搵對像　何妨互相走入情場
共你一雙一對　攜手映下相
瀑布水花高飛百丈　潺潺自晌音韻悠揚
綠野青山遍　大家跟住唱

repeat **"
28,mojim.com,有酒今朝醉,"許冠傑

有酒今朝醉

作詞：許冠傑/黎彼得
作曲：美國民謠

童年就八歲 多歡趣 見到狗仔起勢追
爺爺話我最興嗲幾句 買包花生卜卜脆
跳吓飛機 街邊玩吓水
爺爺重教我講呢一句 有酒應該今朝醉
(爺爺重教我講呢一句 有酒應該今朝醉)

行年十八歲 懶風趣 有名高級徒置區
求其係派對仆倒去 見到鷗烏都請佢
咪個謙虛 幾大充有水
連隨問吓佢幾多歲 有酒應該今朝醉
(連隨問吓佢幾多歲 有酒應該今朝醉)

行年廿八歲 金翡翠 鬢影衣香拖靚女
同埋趙阿翠 雙雙對 結果卒之娶咗佢
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
以為歲晚煎堆 點知啫聲跟咗老許
無謂問過去 盞心碎 有酒應該今朝醉
(無謂問過去 盞心碎 有酒應該今朝醉)

行年六十八歲 腰骨都脆 阿嘅風濕中氣衰
人哋窒兩句 濕濕碎 我都嗗聲吞咗佢
嘆吓雙蒸 打牌抽吓水
回頭望過去 始終個句 有酒應該今朝醉
(回頭望過去 始終個句 有酒應該今朝醉)

LA................. 有酒應該今朝醉
LA..................有酒應該今朝醉
LA................. 有酒應該今朝醉
LA..................有酒應該今朝醉
LA..........



感謝 Sam 修正歌詞"
29,mojim.com,知音夢裡尋,"許冠傑

知音夢裡尋

作詞：許冠傑/黎彼得
作曲：許冠傑

星星會明白我心
早知戀愛盡憐閔
誰料此際被情困
想伊人空抱憾

春色醉人夜已深
結他輕奏別離韻
盟誓毀碎淚難禁
嘆息知音夢裡尋
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網

亂我心思傷透神
舊愛竟貪新
腸斷那堪風陣陣
悽怨倩誰問

街燈已殘月暗昏
惋惜空記熱情吻
徒自追索綠雲鬢
嘆息知音夢裡尋"
30,mojim.com,鬼馬大家樂,"許冠傑

鬼馬大家樂

作詞：許冠傑/黎彼得
作曲：溫拿樂隊/黃霑

(1)香港交通歌：
今朝塞到依家　把幾火想爆炸
踩油抽筋掃波牙　恰眼訓就梗聽瓜
香港交通最丟架　一講起都怕怕
今朝搵到依家　通街捐窿窿罅罅
終於吼倒個METER　一試又係橫咖啦
香港車位夠羞家　想搵位一早要霸
無謂住鬼氣　交通差多多說話
有理　冇理抄　發告票　理得佢　最多公價

(2)醫生頌：
世界上有幾百樣人　祗發覺醫生一個
無論我點肚餓　無論我點折墮　終歸要醫好痛楚
世界上有幾百萬人　祗發信醫生一個
成日替我檢驗　成日替我搞掂　一朝到晚維護我
你對多多講　根本當唱歌　佢照顧你今生今世　你見佢多　收錢更多
世界上有幾百樣人　祗發覺醫生一個
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
能為我出力　能令我瓜直　始終永遠陪伴我

(3)點解要擺酒：
點解要擺酒　亂咁錢冇理由　人人為飲一杯酒　累到夫妻一世憂
點解要擺酒　恨我幫濕個頭　求人度水搵幫手　月尾薪金起勢扣
杯酒共渡患難　通檯走做阿茂　實係日後我與妳做到獅子咁口
點解要擺酒　望見張單報晒仇　難為自己一雙手　預算開支點會夠

(4)拍拖安全歌：
天黑出街有排慌　拖友專興四圍蕩
一味疏肝　見賊佬梗生　打鈴記住兩頭望
雖則公園有人者　看得幾看佢又暈浪
血影刀光　冇命仔真冤枉　拖友切勿四圍蕩
咪魯莽學人亂撞　遇著爛鬼盞剝清光
摑兩摑跟手綁幾綁　兇夾狠　隨時條命喪
乖女喜歡曬月光　家長擔心到傻戇
劫匪兇悍　嘆治安真不當　警方掃蕩靠謀望"
31,mojim.com,夜半輕私語,"許冠傑

夜半輕私語

作詞：許冠傑/黎彼得
作曲：許冠傑
編曲：許冠傑

千般相思似毛毛雨 抑鬱苦惱一於作首詩
寫遍艷麗言詞合你意 藉以表心癡
執起張紙卻恨無語 心聲傾訴實在唔容易
依稀往事言猶在我耳 望你解深意
胡言亂語更多錯字 總之兩心知
全無異志吐出心事 只盼望知曉意思
深宵追憶會亂神智 怎許相對有若籐纏樹
衷心暗示期求諒錯處 夜半輕私語"
32,mojim.com,斷腸夢,"許冠傑

斷腸夢

作詞：許冠傑/黎彼得
作曲：許冠傑

心驚恐 燭影動 午夜殘月碎春夢
枕邊空 更深露重 問誰共

秋波湧 憶花容 翠袖搖曳暗低弄
酒千盅 空添苦痛 斷腸夢

*故夢去匆匆 塞雁隔西東
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
情恨種朝思晚盼 一封音訊通

悲丹楓 惜飄蓬 遠望前路各珍重
哀苦衷 鐘聲飄送 斷腸夢*

Repeat*

斷腸夢"
33,mojim.com,追求三部曲,"許冠傑

追求三部曲

作詞：許冠傑/黎彼得
作曲：許冠傑

面撞面個妹釘確係人省鏡
望落順眼風姿綽約夠標青
冒昧問句小姐妳係叫乜名
哈囉一聲All Right搞掂實靈擎

密密預約海邊搏命齊撐艇
漫步綠柳花間結伴行山頂
會面食野三更半夜去餐廳
西裝筆挺衫領乾淨執到正

*佢尊翁綽號包頂頸(三寸釘)
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
屋企住喺茶果嶺(瓦封嶺)
見我口輕輕 當我花靚倞
實在阿啦面幪兼心精

但願做對鴛鴦結合查篤撐
二萬賀禮鮑參翅席嫌錢腥
另外又要親戚派十擔西餅
一聽驚驚今次整定煲要掟*

Repeat*

一聽驚驚今次整定煲要掟"
34,mojim.com,流水恨,"許冠傑

流水恨

作詞：許冠傑/黎彼得
作曲：許冠英

看流水 倍陶醉 解我憂慮
聽潮水 憶伴侶 悲愛逝去

意闌珊 愛難挽 感慨千萬
嘆緣慳 痛情冷 相見恨晚

*那許永相伴隨 年華容易老去
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
慶得片刻歡聚 何日共相對

嘆流水 惹愁緒 彷似灑淚
怨潮水 波浪退 心似亂絮*

Repeat*

心似亂絮"
35,mojim.com,財神到,"許冠傑

財神到

作詞：許冠傑/黎彼得
作曲：許冠傑

(a)
財神到　財神到　好心得好報
財神話　財神話　搵錢依正路
財神到　財神到　好走快兩步
得到佢睇起你　你有前途

闔府慶新歲　喜氣盈盈
齊賀你多福蔭　壯健強勁
又祝你今年　慶獲榮升
朝晚多多歡笑　錦繡前程

願夫婦恩愛　體貼入微
成日有吉星照　百事無忌
共親友相見　說話投機
充滿新春喜氣　歡暢揚眉
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網

(重複a)

(b)
啦啦啦⋯⋯
財神到　財神到　好走快兩步
得到佢睇起你　你有前途

賀所有鴛侶　花結並頭
還望各位工友　百業成就
大家冇爭鬥　快樂無憂
聽隻歌輕鬆吓　拋卻恨愁

(重複a,b,a,a,b)

大眾慶新春　望財神到"
36,mojim.com,何處覓蓬萊,"許冠傑

何處覓蓬萊

作詞：許冠傑/黎彼得
作曲：許冠傑

心響往蓬萊，想身處蓬萊，
仰望蓬萊所在，似被浮雲掩蓋。

想找到蓬萊，偏不見蓬萊，
遍歷人間世外，費盡勞力錢財。

遙看天邊飛鳥，原野夕陽照耀，
頓覺寧靜舒泰，恨怨漸似開解。

方知卻原來，不必盼蓬萊，
已是埋藏心內，蓬萊就是愛。"
37,mojim.com,錢會繼續嚟,"許冠傑

錢會繼續嚟

作詞：許冠傑/黎彼得
作曲：Wayne Reichner

米貴 冇乜問題 諗計 咪懵懵閉
度掂 就要發威 啲錢就會繼續嚟

冇米 隻雞就啼 撞鬼 咪巴巴閉
焗住 就殺隻雞 啲錢係會繼續嚟

過節送禮立定例 水鬼陛隍靠老細
你咪猛呻命運滯 要打基礎 捫紅毛泥

冇計 咪鬼食泥 駛錢 當交水費
在下 奉勸各位 啲錢係會繼續嚟

啲錢係會繼續嚟

啲錢係會繼續嚟
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網

米貴(米貴) 冇乜問題 諗計(諗計) 咪懵懵閉
度掂(度掂) 就要發威 啲錢就會繼續嚟

冇米(冇米) 隻雞就啼 撞鬼(撞鬼) 咪巴巴閉
焗住(焗住) 就殺隻雞 啲錢係會繼續嚟

老友咪個論地位 駛乜孤寒詐詐諦
駛得開心應該駛 死慳死抵 想人提攜呀

咪制(咪制) 你想入圍 冤鬼(冤鬼) 咪懶經濟
萬事(萬事) 係放遠睇 啲錢係會繼續嚟
啲錢係會繼續嚟(錢錢錢錢)
啲錢係會繼續嚟(錢錢錢錢)
啲錢係會繼續嚟(錢錢錢錢 錢錢錢錢)"
